Agency Name,City,State,Program Started,Cameras Deployed,Program Status,Total Officers,Patrol Officers,# Cameras Purchased,# Cameras Deployed,Policy Link,Camera Supplier,Footage subject to open records law?,Notes on disclosure,Contract link,Cost,Notes on Cost,Related Link 1,Related Link 2,Related Link 3,Source,Entered By,Notes,
LUMPKIN COUNTY SHERIFFS DEPT,Dahlonega,GA,,,,,,,,,,,,,,,,,,BJS,,,
MARIETTA POLICE DEPT,Marietta,GA,,,,,,,,,,,,,,,,,,BJS,,,
MCDONOUGH PUBLIC SAFETY DEPT,McDonough,GA,,,,,,,,,,,,,,,,,,BJS,,,
METTER POLICE DEPT,Metter,GA,,,,,,,,,,,,,,,,,,BJS,,,
NEWNAN POLICE DEPT,Newnan,GA,,,,,,,,,,,,,,,,,,BJS,,,
NEWTON COUNTY SHERIFFS DEPT,Covington,GA,,,,,,,,,,,,,,,,,,BJS,,,
OAKWOOD POLICE DEPT,Oakwood,GA,,,,,,,,,,,,,,,,,,BJS,,,
PAULDING COUNTY SHERIFFS OFFICE,Dallas,GA,,,,,,,,,,,,,,,,,,BJS,,,
PINE LAKE POLICE DEPT,Pine Lake,GA,,,,,,,,,,,,,,,,,,BJS,,,
ROCKMART POLICE DEPT,Rockmart,GA,,,,,,,,,,,,,,,,,,BJS,,,
SANDY SPRINGS POLICE DEPT,Sandy Springs,GA,,,,,,,,,,,,,,,,,,BJS,,,
SARDIS POLICE DEPT,Sardis,GA,,,,,,,,,,,,,,,,,,BJS,,,
SAVANNAH-CHATHAM METRO POLICE DEPT,Savannah,GA,,,,,,,,,,,,,,,,,,BJS,,,
THOMAS COUNTY SHERIFFS OFFICE,Thomasville,GA,,,,,,,,,,,,,,,,,,BJS,,,
THOMASVILLE POLICE DEPT,Thomasville,GA,,,,,,,,,,,,,,,,,,BJS,,,
TOCCOA POLICE DEPT,Toccoa,GA,,,,,,,,,,,,,,,,,,BJS,,,
TOWNS COUNTY SHERIFFS DEPT,Young Harris,GA,,,,,,,,,,,,,,,,,,BJS,,,
TYBEE ISLAND POLICE DEPT,Tybee Island,GA,,,,,,,,,,,,,,,,,,BJS,,,
VALDOSTA POLICE DEPT,Valdosta,GA,,,,,,,,,,,,,,,,,,BJS,,,
VILLA RICA POLICE DEPT,Villa Rica,GA,,,,,,,,,,,,,,,,,,BJS,,,
WATKINSVILLE POLICE DEPT,Watkinsville,GA,,,,,,,,,,,,,,,,,,BJS,,,
Trion Police Department,Trion,GA,,,PROPOSED,,,,,,,,,,,,,,,http://www.bodycameradonations.com/agencies/,Rachel Alexander,Seeking donations to fund program,
Atlanta Police Department,Atlanta,GA,8/1/2015,1/1/2016,ON HOLD,,,,,,"WatchGuard Video (lawsuit pending from another manufacturer, Utility Associates)",,,,,,http://www.atlantamagazine.com/news-culture-articles/atlantas-police-body-cameras-put-on-hold-by-court/,,,News reports,Rachel Alexander,,
Kauai Police Department,Kauai,HI,2015,,ON HOLD,,,105,,,,,,,,,http://khon2.com/2016/03/10/hearing-begins-over-kauai-police-departments-body-camera-program/,,,News reports,Rachel Alexander,Pending Labor Relations Board hearing. Union filed complaint about camera purchase.,
ALGONA POLICE DEPT,Algona,IA,,,,,,,,,,,,,,,,,,BJS,,,
CARROLL POLICE DEPT,Carroll,IA,,,,,,,,,,,,,,,,,,BJS,,,
CEDAR FALLS POLICE DEPT,Cedar Falls,IA,,,,,,,,,,,,,,,,,,BJS,,,
IOWA CITY POLICE DEPT,Iowa City,IA,,,,,,,,,,,,,,,,,,BJS,,,
LAKE MILLS POLICE DEPT,Lake Mills,IA,,,,,,,,,,,,,,,,,,BJS,,,
LAMONI POLICE DEPT,Lamoni,IA,,,,,,,,,,,,,,,,,,BJS,,,
LEON POLICE DEPT,Leon,IA,,,,,,,,,,,,,,,,,,BJS,,,
MUSCATINE POLICE DEPT,Muscatine,IA,,,,,,,,,,,,,,,,,,BJS,,,
NORWALK POLICE DEPT,Norwalk,IA,,,,,,,,,,,,,,,,,,BJS,,,
OELWEIN POLICE DEPT,Oelwein,IA,,,,,,,,,,,,,,,,,,BJS,,,
PARKERSBURG POLICE DEPT,Parkersburg,IA,,,,,,,,,,,,,,,,,,BJS,,,
TAMA COUNTY SHERIFFS OFFICE,Toledo,IA,,,,,,,,,,,,,,,,,,BJS,,,
WAUKON POLICE DEPT,Waukon,IA,,,,,,,,,,,,,,,,,,BJS,,,
WILLIAMSBURG POLICE DEPT,Williamsburg,IA,,,,,,,,,,,,,,,,,,BJS,,,
WOODBINE POLICE DEPT,Woodbine,IA,,,,,,,,,,,,,,,,,,BJS,,,
WORTH COUNTY SHERIFFS OFFICE,Northwood,IA,,,,,,,,,,,,,,,,,,BJS,,,
Lake View Police Department,Lake View,IA,,,PROPOSED,,,,,,,,,,,,,,,http://www.bodycameradonations.com/agencies/,Rachel Alexander,Seeking donations to fund program,
Urbandale Police Department,Urbandale,IA,,,PROPOSED,,,,,,,,,,,,,,,http://www.bodycameradonations.com/agencies/,Rachel Alexander,Seeking donations to fund program,
Des Moines Police Department,Des Moines,IA,2016,,PROPOSED,,,,,,,,,,$1.4 million,Estimated cost. City has seven bids.,http://www.desmoinesregister.com/story/news/crime-and-courts/2016/02/19/chief-all-dm-officers-wear-body-cameras-june/80605178/,,,News reports,Rachel Alexander,,
BANNOCK COUNTY SHERIFFS OFFICE,Pocatello,ID,,,,,,,,,,,,,,,,,,BJS,,,
BLAINE COUNTY SHERIFFS DEPT,Hailey,ID,,,,,,,,,,,,,,,,,,BJS,,,
FORT HALL TRIBAL POLICE DEPT,Fort Hall,ID,,,,,,,,,,,,,,,,,,BJS,,,
FREMONT COUNTY SHERIFFS OFFICE,Saint Anthony,ID,,,,,,,,,,,,,,,,,,BJS,,,
GOODING COUNTY SHERIFFS DEPT,Gooding,ID,,,,,,,,,,,,,,,,,,BJS,,,
IDAHO COUNTY SHERIFFS OFFICE,Grangeville,ID,,,,,,,,,,,,,,,,,,BJS,,,
Idaho State Police,Meridian,ID,,,,,,,,,,,,,,,,,,BJS,,,
LEWIS COUNTY SHERIFFS OFFICE,Nezperce,ID,,,,,,,,,,,,,,,,,,BJS,,,
MCCALL POLICE DEPT,McCall,ID,,,,,,,,,,,,,,,,,,BJS,,,
NAMPA POLICE DEPT,Nampa,ID,,,,,,,,,,,,,,,,,,BJS,,,
PONDERAY POLICE DEPT,Ponderay,ID,,,,,,,,,,,,,,,,,,BJS,,,
TROY POLICE DEPT,Troy,ID,,,,,,,,,,,,,,,,,,BJS,,,
Aberdeen Police Department,Aberdeen,ID,,,PROPOSED,,,,,,,,,,,,,,,http://www.bodycameradonations.com/agencies/,Rachel Alexander,Seeking donations to fund program,
ARLINGTON HEIGHTS POLICE DEPT,Arlington Heights,IL,,,,,,,,,,,,,,,,,,BJS,,,
BURNHAM POLICE DEPT,Burnham,IL,,,,,,,,,,,,,,,,,,BJS,,,
GRANT PARK POLICE DEPT,Grant Park,IL,,,,,,,,,,,,,,,,,,BJS,,,
HANOVER PARK POLICE DEPT,Hanover Park,IL,,,,,,,,,,,,,,,,,,BJS,,,
JOLIET POLICE DEPT,Joliet,IL,,,,,,,,,,,,,,,,,,BJS,,,
LAKE COUNTY SHERIFFS OFFICE,Waukegan,IL,,,,,,,,,,,,,,,,,,BJS,,,
ST CLAIR COUNTY SHERIFFS DEPT,Belleville,IL,,,,,,,,,,,,,,,,,,BJS,,,
URBANA POLICE DEPT,Urbana,IL,,,,,,,,,,,,,,,,,,BJS,,,
Chicago Police Department,Chicago,IL,,,,11944,,30,,Chicago,,,,,,,,,,Campaign Zero,Rachel Alexander,,
Benld Police Department,Benld,IL,,,PROPOSED,,,,,,,,,,,,,,,http://www.bodycameradonations.com/agencies/,Rachel Alexander,Seeking donations to fund program,
Brooklyn Police Department,Brooklyn,IL,,,PROPOSED,,,,,,,,,,,,,,,http://www.bodycameradonations.com/agencies/,Rachel Alexander,Seeking donations to fund program,
East St. Louis Police Department,East St. Louis,IL,,,PROPOSED,,,,,,,,,,,,,,,http://www.bodycameradonations.com/agencies/,Rachel Alexander,Seeking donations to fund program,
Lawrenceville Police Department,Lawrenceville,IL,,,PROPOSED,,,,,,,,,,,,,,,http://www.bodycameradonations.com/agencies/,Rachel Alexander,Seeking donations to fund program,
Metamora Police Department,Metamora,IL,,,PROPOSED,,,,,,,,,,,,,,,http://www.bodycameradonations.com/agencies/,Rachel Alexander,Seeking donations to fund program,
Midlothian Police Department,Midlothian,IL,,,PROPOSED,,,,,,,,,,,,,,,http://www.bodycameradonations.com/agencies/,Rachel Alexander,Seeking donations to fund program,
Palmya Police Department,Palmya,IL,,,PROPOSED,,,,,,,,,,,,http://www.sj-r.com/news/20160320/palmyra-police-use-social-media-for-help-buying-body-cameras,,,http://www.bodycameradonations.com/agencies/,Rachel Alexander,Seeking donations to fund program,
South Pekin Police Department,South Pekin,IL,,,PROPOSED,,,,,,,,,,,,,,,http://www.bodycameradonations.com/agencies/,Rachel Alexander,Seeking donations to fund program,
Williamsfield Police Department,Williamsfield,IL,,,PROPOSED,,,,,,,,,,,,,,,http://www.bodycameradonations.com/agencies/,Rachel Alexander,Seeking donations to fund program,
Illinois Central College,,IL,,2/1/2016,,,,,,,Taser International,,,,,,http://www.cinewsnow.com/news/local/Peoria-police-prepare-for-future-body-camera-use-369199411.html,,,News reports,Rachel Alexander,,
Peoria Police Department,Peoria,IL,,,PROPOSED,,,,,,,,,,,,http://www.cinewsnow.com/news/local/Peoria-police-prepare-for-future-body-camera-use-369199411.html,,,News reports,Rachel Alexander,,
ROCKFORD POLICE DEPT,Rockford,IL,,3/1/2016,PILOT,,,,13,,Taser International,,,,,,http://www.rrstar.com/article/20160306/NEWS/160309684,,,News reports,Rachel Alexander,,
Springfield Police Department,Springfield,IL,11/1/2015,,PROPOSED,,,,,,,,,,"$165,000",City budget line item to purchase cameras for fiscal year 2017.,http://illinoistimes.com/article-16896-city-budgets-%2524165000-for-body-cameras.html,,,News reports,Rachel Alexander,Ran pilot last fall. Just approved funding for FY 2017.,
Bradiwood Police Department,Bradiwood,IL,,,PROPOSED,,17,,,,,,,,,,http://www.theherald-news.com/2016/01/29/braidwood-police-seeking-donations-for-body-cameras/a5q83bc/,,,News reports,Rachel Alexander,Seeking donations to outfit officers with 10 cameras.,
ATTICA POLICE DEPT,Attica,IN,,,,,,,,,,,,,,,,,,BJS,,,
AURORA POLICE DEPT,Aurora,IN,,,,,,,,,,,,,,,,,,BJS,,,
AVILLA POLICE DEPT,Avilla,IN,,,,,,,,,,,,,,,,,,BJS,,,
BICKNELL POLICE DEPT,Bicknell,IN,,,,,,,,,,,,,,,,,,BJS,,,
BROWNSTOWN POLICE DEPT,Brownstown,IN,,,,,,,,,,,,,,,,,,BJS,,,
CLARKSVILLE POLICE DEPT,Clarksville,IN,,,,,,,,,,,,,,,,,,BJS,,,
EVANSVILLE POLICE DEPT,Evansville,IN,,,,,,,,,,,,,,,,,,BJS,,,
FRANKFORT POLICE DEPT,Frankfort,IN,,,,,,,,,,,,,,,,,,BJS,,,
FRANKLIN COUNTY SHERIFFS DEPT,Brookville,IN,,,,,,,,,,,,,,,,,,BJS,,,
GIBSON COUNTY SHERIFFS DEPT,Princeton,IN,,,,,,,,,,,,,,,,,,BJS,,,
GOSHEN POLICE DEPT,Goshen,IN,,,,,,,,,,,,,,,,,,BJS,,,
HARTFORD CITY POLICE DEPT,Hartford City,IN,,,,,,,,,,,,,,,,,,BJS,,,
JASPER POLICE DEPT,Jasper,IN,,,,,,,,,,,,,,,,,,BJS,,,
JOHNSON COUNTY SHERIFFS DEPT,Franklin,IN,,,,,,,,,,,,,,,,,,BJS,,,
KOKOMO POLICE DEPT,Kokomo,IN,,,,,,,,,,,,,,,,,,BJS,,,
MORGAN COUNTY SHERIFFS OFFICE,Martinsville,IN,,,,,,,,,,,,,,,,,,BJS,,,
MUNCIE POLICE DEPT,Muncie,IN,,,,,,,,,,,,,,,,,,BJS,,,
NEW WHITELAND POLICE DEPT,New Whiteland,IN,,,,,,,,,,,,,,,,,,BJS,,,
NOBLE COUNTY SHERIFFS DEPT,Albion,IN,,,,,,,,,,,,,,,,,,BJS,,,
NORTH MANCHESTER POLICE DEPT,North Manchester,IN,,,,,,,,,,,,,,,,,,BJS,,,
NORTH VERNON POLICE DEPT,North Vernon,IN,,,,,,,,,,,,,,,,,,BJS,,,
PERRY COUNTY SHERIFFS DEPT,Cannelton,IN,,,,,,,,,,,,,,,,,,BJS,,,
ROCKPORT POLICE DEPT,Rockport,IN,,,,,,,,,,,,,,,,,,BJS,,,
SHIPSHEWANA POLICE DEPT,Shipshewana,IN,,,,,,,,,,,,,,,,,,BJS,,,
TIPTON POLICE DEPT,Tipton,IN,,,,,,,,,,,,,,,,,,BJS,,,
VANDERBURGH COUNTY SHERIFFS OFFICE,Evansville,IN,,,,,,,,,,,,,,,,,,BJS,,,
VERMILLION COUNTY SHERIFFS DEPT,Newport,IN,,,,,,,,,,,,,,,,,,BJS,,,
WESTPORT POLICE DEPT,Westport,IN,,,,,,,,,,,,,,,,,,BJS,,,
Jeffersonville Police Department,Jeffersonville,IN,2015,,PILOT,,,,,,,,,,,,http://www.newsandtribune.com/news/jeffersonville-police-switch-up-body-cam-technology/article_08ed9296-dc18-11e5-9c10-6bb2c36b8c95.html,,,News reports,Rachel Alexander,,
Greencastle Police Department,Greencastle,IN,,2015,ACTIVE,,,,,,Taser International,,,,,,http://www.bannergraphic.com/story/2286588.html,,,News reports,Rachel Alexander,Supplier based on photo accompanying article - would be worth verifying.,
Cloverdale Police Department,Cloverdale,IN,,2015,ACTIVE,,,,,,Taser International,,,,,,http://www.bannergraphic.com/story/2286588.html,,,News reports,Rachel Alexander,Supplier based on photo accompanying article - would be worth verifying.,
Fillmore Police Department,Fillmore,IN,,2015,ACTIVE,,,,,,Taser International,,,,,,http://www.bannergraphic.com/story/2286588.html,,,News reports,Rachel Alexander,Supplier based on photo accompanying article - would be worth verifying.,
Roachdale Police Department,Roachdale,IN,,2015,ACTIVE,,,,,,Taser International,,,,,,http://www.bannergraphic.com/story/2286588.html,,,News reports,Rachel Alexander,Supplier based on photo accompanying article - would be worth verifying.,
Bainbridge Police Department,Bainbridge,IN,,2015,ACTIVE,,,,,,Taser International,,,,,,http://www.bannergraphic.com/story/2286588.html,,,News reports,Rachel Alexander,Supplier based on photo accompanying article - would be worth verifying.,
Russellville Police Department,Russellville,IN,,2015,ACTIVE,,,,,,Taser International,,,,,,http://www.bannergraphic.com/story/2286588.html,,,News reports,Rachel Alexander,Supplier based on photo accompanying article - would be worth verifying.,
ALTAMONT POLICE DEPT,Altamont,KS,,,,,,,,,,,,,,,,,,BJS,,,
BAXTER SPRINGS POLICE DEPT,Baxter Springs,KS,,,,,,,,,,,,,,,,,,BJS,,,
BROWN COUNTY SHERIFFS DEPT,Hiawatha,KS,,,,,,,,,,,,,,,,,,BJS,,,
CLAY COUNTY SHERIFFS DEPT,Clay Center,KS,,,,,,,,,,,,,,,,,,BJS,,,
DERBY POLICE DEPT,Derby,KS,,,,,,,,,,,,,,,,,,BJS,,,
EL DORADO POLICE DEPT,El Dorado,KS,,,,,,,,,,,,,,,,,,BJS,,,
FRONTENAC POLICE DEPT,Frontenac,KS,,,,,,,,,,,,,,,,,,BJS,,,
GARDNER DEPT OF PUBLIC SAFETY,Gardner,KS,,,,,,,,,,,,,,,,,,BJS,,,
GODDARD POLICE DEPT,Goddard,KS,,,,,,,,,,,,,,,,,,BJS,,,
IOWA (OF KS and NE) TRIBAL POLICE DEPT,Whitecloud,KS,,,,,,,,,,,,,,,,,,BJS,,,
JOHNSON COUNTY SHERIFFS OFFICE,Olathe,KS,,,,,,,,,,,,,,,,,,BJS,,,
LEAWOOD POLICE DEPT,Leawood,KS,,,,,,,,,,,,,,,,,,BJS,,,
LENEXA POLICE DEPT,Lenexa,KS,,,,,,,,,,,,,,,,,,BJS,,,
LINN VALLEY POLICE DEPT,Linn Valley,KS,,,,,,,,,,,,,,,,,,BJS,,,
LYNDON POLICE DEPT,Lyndon,KS,,,,,,,,,,,,,,,,,,BJS,,,
LYONS POLICE DEPT,Lyons,KS,,,,,,,,,,,,,,,,,,BJS,,,
MCPHERSON POLICE DEPT,McPherson,KS,,,,,,,,,,,,,,,,,,BJS,,,
MERRIAM POLICE DEPT,Merriam,KS,,,,,,,,,,,,,,,,,,BJS,,,
SUMNER COUNTY SHERIFFS DEPT,Wellington,KS,,,,,,,,,,,,,,,,,,BJS,,,
TOPEKA POLICE DEPT,Topeka,KS,,,,,,,,,,,,,,,,,,BJS,,,
TROY POLICE DEPT,Troy,KS,,,,,,,,,,,,,,,,,,BJS,,,
Burlinmgame Police Department,Burlingame,KS,,,PROPOSED,,,,,,,,,,,,,,,http://www.bodycameradonations.com/agencies/,Rachel Alexander,Seeking donations to fund program,
WICHITA POLICE DEPT,Wichita,KS,,,PROPOSED,,429,,,,,,,,,,http://cjonline.com/news/2016-02-26/wichita-police-gets-funds-finish-body-camera-purchases,,,News reports,,,
Finney County Sheriff's Office,Garden City,KS,10/1/2014,10/1/2014,ACTIVE,,,,,,,,,,,,http://www.gctelegram.com/news/local/law-enforcement-agencies-looking-at-body-cams/article_9a5ea463-9f7f-5cc1-a3d0-3dad5a70f4d0.html,,,News reports,,Initial 2014 program was for jail only. Has proposed expansion to deputies.,
Garden City Police Department,Garden City,KS,,,PROPOSED,,,,,,,,,,,,http://www.gctelegram.com/news/local/law-enforcement-agencies-looking-at-body-cams/article_9a5ea463-9f7f-5cc1-a3d0-3dad5a70f4d0.html,,,News reports,,,
Holcomb Police Department,Holcomb,KS,2015,,,,3,3,,,,,,,,,http://www.gctelegram.com/news/local/law-enforcement-agencies-looking-at-body-cams/article_9a5ea463-9f7f-5cc1-a3d0-3dad5a70f4d0.html,,,News reports,,,
ALBANY POLICE DEPT,Albany,KY,,,,,,,,,,,,,,,,,,BJS,,,
BELLEVUE POLICE DEPT,Bellevue,KY,,,,,,,,,,,,,,,,,,BJS,,,
CALLOWAY COUNTY SHERIFFS DEPT,Murray,KY,,,,,,,,,,,,,,,,,,BJS,,,
CAMPBELL COUNTY POLICE DEPT,Alexandria,KY,,,,,,,,,,,,,,,,,,BJS,,,
CHRISTIAN COUNTY SHERIFFS DEPT,Hopkinsville,KY,,,,,,,,,,,,,,,,,,BJS,,,
CLAY POLICE DEPT,Clay,KY,,,,,,,,,,,,,,,,,,BJS,,,
COVINGTON POLICE DEPT,Covington,KY,,,,,,,,,,,,,,,,,,BJS,,,
GARRARD COUNTY SHERIFFS DEPT,Lancaster,KY,,,,,,,,,,,,,,,,,,BJS,,,
GRAYSON COUNTY SHERIFFS DEPT,Leitchfield,KY,,,,,,,,,,,,,,,,,,BJS,,,
HARDINSBURG POLICE DEPT,Hardinsburg,KY,,,,,,,,,,,,,,,,,,BJS,,,
KENTON COUNTY SHERIFFS OFFICE,Covington,KY,3/1/2016,,PROPOSED,,,,,,Wolfcom,,,,"$30,000",All funds from asset seizure,http://www.wcpo.com/news/local-news/kenton-county/body-cameras-for-kenton-county-police-wont-cost-taxpayers-a-cent,,,News reports,Rachel Alexander,,
LUDLOW POLICE DEPT,Ludlow,KY,,,,,,,,,,,,,,,,,,BJS,,,
MOUNT WASHINGTON POLICE DEPT,Mount Washington,KY,,,,,,,,,,,,,,,,,,BJS,,,
PROSPECT POLICE DEPT,Prospect,KY,,,,,,,,,,,,,,,,,,BJS,,,
PROVIDENCE POLICE DEPT,Providence,KY,,,,,,,,,,,,,,,,,,BJS,,,
SIMPSON COUNTY SHERIFFS DEPT,Franklin,KY,,,,,,,,,,,,,,,,,,BJS,,,
WOODFORD COUNTY SHERIFFS DEPT,Versailles,KY,,,,,,,,,,,,,,,,,,BJS,,,
Louisville Police Department,Louisville,KY,,,,1250,,640,,Louisville,,,,,,,,,,Campaign Zero,Rachel Alexander,,
ACADIA PARISH SHERIFFS OFFICE,Crowley,LA,,,,,,,,,,,,,,,,,,BJS,,,
BENTON POLICE DEPT,Benton,LA,,,,,,,,,,,,,,,,,,BJS,,,
BERNICE POLICE DEPT,Bernice,LA,,,,,,,,,,,,,,,,,,BJS,,,
CONCORDIA PARISH SHERIFFS DEPT,Vidalia,LA,,,,,,,,,,,,,,,,,,BJS,,,
DIXIE INN POLICE DEPT,Dixie Inn,LA,,,,,,,,,,,,,,,,,,BJS,,,
EUNICE POLICE DEPT,Eunice,LA,,,,,,,,,,,,,,,,,,BJS,,,
FERRIDAY POLICE DEPT,Ferriday,LA,,,,,,,,,,,,,,,,,,BJS,,,
JEFFERSON PARISH SHERIFFS OFFICE,Harvey,LA,,,,,,,,,,,,,,,,,,BJS,,,
KROTZ SPRINGS POLICE DEPT,Krotz Springs,LA,,,,,,,,,,,,,,,,,,BJS,,,
MORGAN CITY POLICE DEPT,Morgan City,LA,,,,,,,,,,,,,,,,,,BJS,,,
PINEVILLE POLICE DEPT,Pineville,LA,,,,,,,,,,,,,,,,,,BJS,,,
SHREVEPORT POLICE DEPT,Shreveport,LA,,,,,,,,,,,,,,,,,,BJS,,,
SIBLEY POLICE DEPT,Sibley,LA,,,,,,,,,,,,,,,,,,BJS,,,
ST. LANDRY PARISH SHERIFFS DEPT,Opelousas,LA,,,,,,,,,,,,,,,,,,BJS,,,
VERMILION PARISH SHERIFFS DEPT,Abbeville,LA,,,,,,,,,,,,,,,,,,BJS,,,
VERNON PARISH SHERIFFS DEPT,Leesville,LA,,,,,,,,,,,,,,,,,,BJS,,,
WASHINGTON PARISH SHERIFFS DEPT,Franklinton,LA,,,,,,,,,,,,,,,,,,BJS,,,
WINNFIELD POLICE DEPT,Winnfield,LA,,,,,,,,,,,,,,,,,,BJS,,,
Baton Rouge Police Department,Baton Rouge,LA,,2015,PILOT,,,,100,,Taser International,,,,None,Cameras on loan from Taser for pilot,http://blogs.theadvocate.com/cityhallbuzz/2016/01/28/baton-rouge-police-switching-body-camera-vendor-to-taser/,http://theadvocate.com/news/15046721-172/east-baton-rouge-parish-sheriffs-office-to-expand-camera-use,,News reports,Rachel Alexander,"Initially had L-3 body cameras, but replaced them with Taser because L-3s were falling off.",
New Orleans Police Department,New Orleans,LA,5/1/2014,,ACTIVE,,,620,,,Taser International,,,,$2.7 million,Five year budget for 620 cameras and software (presumably including storage),http://blogs.theadvocate.com/cityhallbuzz/2016/01/28/baton-rouge-police-switching-body-camera-vendor-to-taser/,http://www.nola.com/crime/index.ssf/2016/02/nopd_body_worn_camera_guidelin.html,,News reports,Rachel Alexander,,
East Baton Rouge Parish Sheriff's Office,Baton Rouge,LA,,,PROPOSED,,,,,,,,,,,,http://theadvocate.com/news/15046721-172/east-baton-rouge-parish-sheriffs-office-to-expand-camera-use,,,News reports,Rachel Alexander,,
DUXBURY POLICE DEPT,Duxbury,MA,,,,,,,,,,,,,,,,,,BJS,,,
EAST BRIDGEWATER POLICE DEPT,East Bridgewater,MA,,,,,,,,,,,,,,,,,,BJS,,,
LAKEVILLE POLICE DEPT,Lakeville,MA,,,,,,,,,,,,,,,,,,BJS,,,
LEICESTER POLICE DEPT,Leicester,MA,,,,,,,,,,,,,,,,,,BJS,,,
PLYMPTON POLICE DEPT,Plympton,MA,,,,,,,,,,,,,,,,,,BJS,,,
CHEVERLY POLICE DEPT,Cheverly,MD,,,,,,,,,,,,,,,,,,BJS,,,
RISING SUN POLICE DEPT,Rising Sun,MD,,,,,,,,,,,,,,,,,,BJS,,,
SYKESVILLE POLICE DEPT,Sykesville,MD,,,,,,,,,,,,,,,,,,BJS,,,
Baltimore Police Department,Baltimore,MD,10/1/2015,5/1/2016,,,,,,,Taser International,,,,$11.6 million,Five-year contract.,http://www.baltimoresun.com/news/maryland/baltimore-city/bs-md-ci-taser-price-20160127-story.html,http://www.baltimoresun.com/news/maryland/baltimore-city/bs-md-ci-body-cameras-20160310-story.html,http://www.latinpost.com/articles/90290/20151028/baltimore-police-department-launch-body-camera-pilot-program.htm,News reports,Rachel Alexander,"Started with 155 officer pilot in October 2015. Taser contract awarded in March 2016 out of 12 companies who applied. Rollout scheduled through January 2018, with first group starying May 2016.",https://baltimorebrew.com/2016/03/16/boe-makes-big-award-for-body-cameras-roll-out-will-take-two-years/
BIDDEFORD POLICE DEPT,Biddeford,ME,,,,,,,,,,,,,,,,,,BJS,,,
FARMINGTON POLICE DEPT,Farmington,ME,,,,,,,,,,,,,,,,,,BJS,,,
GARDINER POLICE DEPT,Gardiner,ME,,,,,,,,,,,,,,,,,,BJS,,,
MADISON POLICE DEPT,Madison,ME,,,,,,,,,,,,,,,,,,BJS,,,
ROCKLAND POLICE DEPT,Rockland,ME,,,,,,,,,,,,,,,,,,BJS,,,
SACO POLICE DEPT,Saco,ME,,,,,,,,,,,,,,,,,,BJS,,,
WATERVILLE POLICE DEPT,Waterville,ME,,,,,,,,,,,,,,,,,,BJS,,,
CASSOPOLIS POLICE DEPT,Cassopolis,MI,,,,,,,,,,,,,,,,,,BJS,,,
CHARLEVOIX COUNTY SHERIFFS OFFICE,Charlevoix,MI,,,,,,,,,,,,,,,,,,BJS,,,
CLARE POLICE DEPT,Clare,MI,,,,,,,,,,,,,,,,,,BJS,,,
CLINTON CHARTER TOWNSHIP POLICE DEPT,Clinton Township,MI,,,,,,,,,,,,,,,,,,BJS,,,
DRYDEN TWP POLICE DEPT,Dryden,MI,,,,,,,,,,,,,,,,,,BJS,,,
GLADSTONE DEPT OF PUBLIC SAFETY,Gladstone,MI,,,,,,,,,,,,,,,,,,BJS,,,
GRAND RAPIDS POLICE DEPT,Grand Rapids,MI,,,,,,,,,,,,,,,,,,BJS,,,
HOWELL POLICE DEPT,Howell,MI,,,,,,,,,,,,,,,,,,BJS,,,
HURON COUNTY SHERIFFS DEPT,Bad Axe,MI,,,,,,,,,,,,,,,,,,BJS,,,
JONESVILLE POLICE DEPT,Jonesville,MI,,,,,,,,,,,,,,,,,,BJS,,,
LAC VIEUX DESERT TRIBAL POLICE DEPT,Watersmeet,MI,,,,,,,,,,,,,,,,,,BJS,,,
LINCOLN PARK POLICE DEPT,Lincoln Park,MI,,,,,,,,,,,,,,,,,,BJS,,,
METAMORA POLICE DEPT,Metamora,MI,,,,,,,,,,,,,,,,,,BJS,,,
ST. JOHNS POLICE DEPT,Saint Johns,MI,,,,,,,,,,,,,,,,,,BJS,,,
TAYLOR POLICE DEPT,Taylor,MI,,,,,,,,,,,,,,,,,,BJS,,,
TUSCOLA COUNTY SHERIFFS DEPT,Caro,MI,,,,,,,,,,,,,,,,,,BJS,,,
Saginaw Police Department,Saginaw,MI,2/1/2015,2015,ACTIVE,,,22,,,Taser International,,,,"$4,045.86",Department money to purchase 10 additional cameras in March 2016. Federal grant money used to purchase 12 cameras initially.,http://www.mlive.com/news/saginaw/index.ssf/2016/03/saginaw_to_equip_all_city_poli.html,,,News reports,Rachel Alexander,"Purchased 12 cameras for initial pilot, the 10 additional in March 2016.",
Kalamazoo Police Department,Kalamazoo,MI,3/1/2016,,PROPOSED,,,,,,,,,,,,http://wwmt.com/news/local/kalamazoo-public-safety-seeks-input-on-body-camera-policy,,,News reports,Rachel Alexander,Seeking public input on policy. Deployment scheduled for later in 2016.,
BAGLEY POLICE DEPT,Bagley,MN,,,,,,,,,,,,,,,,,,BJS,,,
BREEZY POINT POLICE DEPT,Breezy Point,MN,,,,,,,,,,,,,,,,,,BJS,,,
BURNSVILLE POLICE DEPT,Burnsville,MN,,,,,,,,,,,,,,,,,,BJS,,,
CALEDONIA POLICE DEPT,Caledonia,MN,,,,,,,,,,,,,,,,,,BJS,,,
CASS COUNTY SHERIFFS OFFICE,Walker,MN,,,,,,,,,,,,,,,,,,BJS,,,
DULUTH POLICE DEPT,Duluth,MN,,,,,,,,,,,,,,,,,,BJS,,,
